State|County|ID| Polygon Point Coordinates
MD|Carroll|1|-77.298937,39.636742 -77.310194,39.636742 -77.311493,39.639812 -77.306595,39.640911 -77.302399,39.640411 -77.298937,39.636742 -77.272542,39.650741 -77.272542,39.643623 -77.272896,39.644211 -77.275795,39.647312 -77.272542,39.650741 -77.272542,39.641247 -77.272542,39.636742 -77.278303,39.636742 -77.275093,39.640213 -77.272542,39.641247
MD|Carroll|2|-77.265049,39.663053 -77.265049,39.645673 -77.272542,39.645673 -77.272542,39.650741 -77.270294,39.653111 -77.266899,39.65451 -77.265396,39.656311 -77.266396,39.662113 -77.265049,39.663053
MD|Carroll|3|-77.265049,39.645673 -77.265049,39.636742 -77.272542,39.636742 -77.272542,39.641247 -77.271393,39.641712 -77.272542,39.643623 -77.272542,39.645673 -77.265049,39.645673
MD|Carroll|4|-77.255499,39.66419 -77.255499,39.657332 -77.265049,39.657332 -77.265049,39.663053 -77.2621,39.665112 -77.255699,39.66341 -77.255499,39.66419
MD|Carroll|5|-77.255499,39.657332 -77.255499,39.650469 -77.265049,39.650469 -77.265049,39.657332 -77.255499,39.657332
MD|Carroll|6|-77.255499,39.650469 -77.255499,39.643605 -77.265049,39.643605 -77.265049,39.650469 -77.255499,39.650469
MD|Carroll|7|-77.255499,39.643605 -77.255499,39.636742 -77.265049,39.636742 -77.265049,39.643605 -77.255499,39.643605
MD|Carroll|8|-77.241396,39.695499 -77.241396,39.689045 -77.243996,39.69091 -77.241501,39.695511 -77.241396,39.695499 -77.241396,39.671921 -77.241396,39.664632 -77.255385,39.664632 -77.254593,39.667713 -77.249695,39.667713 -77.2444,39.669811 -77.241396,39.671921
MD|Carroll|9|-77.255499,39.66419 -77.255385,39.664632 -77.248446,39.664632 -77.248446,39.655334 -77.255499,39.655334 -77.255499,39.66419
MD|Carroll|10|-77.248446,39.664632 -77.241396,39.664632 -77.241396,39.655334 -77.248446,39.655334 -77.248446,39.664632
MD|Carroll|11|-77.255499,39.655334 -77.248447,39.655334 -77.248447,39.646038 -77.255499,39.646038 -77.255499,39.655334
MD|Carroll|12|-77.248447,39.655334 -77.241396,39.655334 -77.241396,39.646038 -77.248447,39.646038 -77.248447,39.655334
MD|Carroll|13|-77.255499,39.646038 -77.248447,39.646038 -77.248447,39.636742 -77.255499,39.636742 -77.255499,39.646038
MD|Carroll|14|-77.248447,39.646038 -77.241396,39.646038 -77.241396,39.636742 -77.248447,39.636742 -77.248447,39.646038
MD|Carroll|15|-77.223332,39.710538 -77.223332,39.7049 -77.225693,39.706013 -77.226295,39.709511 -77.223332,39.710538 -77.223332,39.695135 -77.223332,39.691669 -77.241396,39.691669 -77.241396,39.695499 -77.226395,39.693813 -77.223332,39.695135
MD|Carroll|16|-77.241396,39.691669 -77.23112,39.691669 -77.23112,39.683252 -77.236248,39.683252 -77.236298,39.685814 -77.239395,39.687611 -77.241396,39.689045 -77.241396,39.691669
MD|Carroll|17|-77.23112,39.691669 -77.223332,39.691669 -77.223332,39.683252 -77.23112,39.683252 -77.23112,39.691669
MD|Carroll|18|-77.230833,39.683252 -77.230833,39.67198 -77.241312,39.67198 -77.2397,39.673111 -77.237099,39.674614 -77.234596,39.678413 -77.236198,39.680714 -77.236248,39.683252 -77.230833,39.683252
MD|Carroll|19|-77.230833,39.67198 -77.230833,39.665773 -77.241396,39.665773 -77.241396,39.671921 -77.241312,39.67198 -77.230833,39.67198
MD|Carroll|20|-77.223332,39.683252 -77.223332,39.674513 -77.230833,39.674513 -77.230833,39.683252 -77.223332,39.683252
MD|Carroll|21|-77.223332,39.674513 -77.223332,39.665773 -77.230833,39.665773 -77.230833,39.674513 -77.223332,39.674513
MD|Carroll|22|-77.232364,39.665773 -77.232364,39.658515 -77.241396,39.658515 -77.241396,39.665773 -77.232364,39.665773
MD|Carroll|23|-77.232364,39.658515 -77.232364,39.651257 -77.241396,39.651257 -77.241396,39.658515 -77.232364,39.658515
